0	14	00 00 00 00 00 00 31 54	ec 00 00
1	14	fc fc fc fc fc fc 00 47	7a 00 47
2	14	71 01 03 00 27 fd 00 73	03 00 27
3	8	00 73 00 71 01 03 00 27	03 00 27
4	14	8b 02 0e 00 79 fc 00 72	73 00 48
5	6	00 8b 00 73 00 48	73 00 48
6	14	94 00 98 fc 01 16 00 8b	f9 00 73
7	14	dc fc 01 0e 01 a1 00 75	73 00 27
8	14	71 00 29 fc 00 66 01 60	73 00 48
9	14	9c 01 b2 02 26 fc 02 a7	4f 00 4f
10	1	4f	4f
11	14	75 00 92 01 57 fc 00 bb	73 00 48
12	14	00 00 73 00 71 01 57 fc	b1 00 4f
13	6	02 1f 02 b1 00 4f	b1 00 4f
14	6	00 73 00 71 00 27	71 00 27
15	14	57 fc 01 1a 02 64 01 ef	73 00 27
16	14	dc fc 01 0e 01 a1 00 75	73 00 27
17	14	a1 00 29 fc 00 66 01 60	73 00 27
18	14	9c 01 b2 02 26 fc 02 a7	4f 00 4f
19	7	a7 00 71 01 4f 00 4f	4f 00 4f
20	14	75 00 92 01 57 fc 00 bb	73 00 48
21	14	00 00 6e 00 85 01 57 fc	b1 00 4f
22	4	02 b1 00 4f	b1 00 4f
23	2	00 26	00 26
24	14	00 75 fc 02 32 00 af fc	82 00 4f
25	14	02 0a 01 cd 02 27 00 98	82 00 48
26	14	01 1a 02 64 00 8b 02 48	73 00 48
27	14	0d fc 02 ac 00 73 02 ae	82 00 48
28	14	0d fd 02 ac 00 73 02 ae	82 00 48
29	14	0d fc 02 ac 00 73 02 ae	82 00 48
30	14	0d fd 02 ac 00 73 02 ae	82 00 48
31	14	0d fc 02 ac 00 73 02 ae	82 00 48
32	14	81 00 82 00 4f fd 00 92	af 00 27
33	14	fc 00 bb 00 7d 00 66 fc	82 00 48
34	14	fc 00 79 01 55 00 66 fc	82 00 48
35	14	01 57 fc 00 e7 00 66 fc	82 00 48
36	14	fc 01 27 fc 00 66 00 73	82 00 48
37	14	b1 00 27 fd 00 92 02 af	27 00 27
38	14	28 fd 01 b5 01 4a 02 48	73 00 4f
39	14	27 00 27 fd 00 92 02 af	27 00 27
40	14	00 92 02 af 02 af 02 af	27 00 27
41	14	60 01 59 fc 02 91 00 e0	27 00 27
42	14	01 f9 00 7f fc 01 cf fc	82 00 48
43	14	57 fd 02 c1 02 27 00 7d	73 00 48
